,Smiling,Male,Young,Blond_Hair,Wearing_Hat
024264.jpg,-1,1,1,-1,-1
061622.jpg,-1,1,1,-1,1
026936.jpg,-1,-1,1,-1,-1
101319.jpg,-1,1,1,-1,1
128582.jpg,-1,-1,1,-1,-1
163182.jpg,1,1,-1,-1,-1
016052.jpg,1,1,1,-1,-1
023647.jpg,-1,-1,1,-1,1
107095.jpg,-1,-1,1,1,-1
140047.jpg,-1,1,-1,-1,-1
080335.jpg,1,-1,1,-1,-1
100010.jpg,-1,1,1,-1,-1
145685.jpg,1,1,1,-1,-1
023241.jpg,1,-1,1,-1,-1
036806.jpg,-1,1,1,-1,-1
019806.jpg,1,1,-1,-1,-1
096761.jpg,-1,1,1,-1,-1
192526.jpg,-1,1,1,-1,1
119786.jpg,-1,-1,1,1,-1
084991.jpg,1,-1,1,1,-1
139148.jpg,1,-1,-1,-1,-1
182720.jpg,-1,1,-1,-1,-1
129677.jpg,1,-1,1,-1,-1
166536.jpg,-1,-1,1,-1,-1
101139.jpg,-1,-1,1,-1,-1
088333.jpg,-1,-1,1,-1,-1
114699.jpg,1,1,1,-1,-1
053724.jpg,-1,1,-1,-1,-1
064901.jpg,-1,-1,1,-1,-1
059308.jpg,-1,1,1,-1,1
129954.jpg,1,-1,1,-1,-1
093027.jpg,-1,-1,1,-1,-1
060029.jpg,-1,1,1,-1,-1
163316.jpg,-1,1,1,-1,-1
104851.jpg,-1,-1,1,-1,-1
062460.jpg,-1,1,-1,-1,-1
011477.jpg,-1,1,-1,-1,-1
005992.jpg,-1,1,1,-1,-1
096021.jpg,-1,-1,1,-1,-1
040561.jpg,-1,1,1,-1,-1
168835.jpg,1,1,1,-1,-1
188176.jpg,-1,-1,-1,1,-1
083016.jpg,1,-1,1,-1,-1
174755.jpg,1,-1,1,-1,-1
000989.jpg,-1,-1,1,-1,-1
176320.jpg,-1,-1,1,-1,-1
047441.jpg,1,1,-1,1,-1
070254.jpg,-1,-1,1,-1,-1
002539.jpg,1,-1,1,-1,-1
193410.jpg,-1,1,1,-1,-1
153979.jpg,-1,-1,1,-1,-1
049176.jpg,1,-1,1,-1,-1
153021.jpg,1,1,1,-1,-1
025276.jpg,-1,-1,1,-1,-1
161158.jpg,-1,-1,1,-1,-1
130778.jpg,-1,1,-1,-1,-1
030023.jpg,1,-1,1,1,-1
094408.jpg,1,1,-1,-1,-1
201357.jpg,-1,-1,1,-1,-1
152774.jpg,1,-1,1,1,-1
125498.jpg,-1,-1,1,-1,-1
072930.jpg,1,-1,1,1,-1
141601.jpg,1,-1,1,1,-1
147995.jpg,-1,1,-1,-1,-1
127035.jpg,-1,-1,1,1,-1
076985.jpg,-1,1,-1,-1,-1
157493.jpg,1,-1,-1,-1,-1
194902.jpg,-1,-1,1,-1,-1
167635.jpg,-1,-1,1,1,-1
009359.jpg,-1,1,1,-1,-1
023325.jpg,-1,-1,1,-1,-1
115804.jpg,1,-1,1,1,-1
086410.jpg,1,1,1,-1,-1
183178.jpg,-1,1,1,-1,-1
201971.jpg,1,-1,1,-1,-1
091214.jpg,1,-1,1,1,-1
182489.jpg,1,1,-1,-1,-1
105314.jpg,-1,1,1,-1,-1
127936.jpg,1,1,-1,-1,-1
058623.jpg,-1,1,-1,-1,-1
179329.jpg,1,-1,1,1,-1
162337.jpg,1,-1,1,-1,-1
184756.jpg,1,-1,1,-1,-1
142612.jpg,-1,1,1,-1,-1
160129.jpg,-1,1,1,-1,-1
169676.jpg,-1,1,1,-1,-1
007628.jpg,-1,-1,1,-1,-1
165019.jpg,-1,1,1,-1,-1
136738.jpg,-1,1,1,-1,-1
096290.jpg,1,1,-1,-1,-1
058796.jpg,-1,1,1,-1,1
159751.jpg,-1,1,1,-1,-1
078482.jpg,-1,-1,1,1,-1
016354.jpg,1,1,1,-1,-1
038570.jpg,-1,1,1,-1,-1
051857.jpg,-1,1,1,-1,-1
180071.jpg,-1,1,1,-1,-1
075980.jpg,-1,-1,1,-1,-1
117916.jpg,1,-1,1,-1,-1
069866.jpg,-1,-1,1,-1,-1
043074.jpg,1,1,1,-1,-1
123187.jpg,-1,1,1,-1,-1
088174.jpg,-1,-1,1,-1,-1
086876.jpg,-1,1,1,-1,-1
038210.jpg,1,1,1,-1,-1
190691.jpg,1,1,1,-1,-1
056680.jpg,1,-1,1,1,-1
137267.jpg,1,-1,1,-1,-1
086806.jpg,1,-1,1,-1,-1
054404.jpg,1,-1,1,-1,-1
034626.jpg,1,-1,1,-1,-1
001576.jpg,1,-1,1,1,-1
113514.jpg,-1,1,1,-1,-1
015738.jpg,-1,-1,-1,-1,-1
188584.jpg,-1,1,1,-1,-1
148475.jpg,1,-1,-1,1,-1
083996.jpg,1,-1,1,-1,-1
027360.jpg,-1,-1,-1,-1,-1
141525.jpg,-1,-1,1,1,-1
162295.jpg,-1,1,1,-1,-1
166910.jpg,-1,-1,1,-1,-1
144515.jpg,1,1,1,1,-1
125145.jpg,-1,-1,1,-1,-1
050393.jpg,-1,-1,1,-1,-1
005694.jpg,-1,-1,1,-1,-1
045885.jpg,1,1,-1,-1,-1
096546.jpg,-1,1,-1,-1,-1
119645.jpg,1,1,-1,-1,-1
143971.jpg,1,1,-1,-1,-1
093615.jpg,-1,1,1,-1,-1
146977.jpg,-1,-1,1,-1,-1
047221.jpg,-1,-1,1,-1,-1
137161.jpg,1,1,-1,-1,-1
178977.jpg,1,-1,1,-1,-1
025644.jpg,-1,1,1,-1,-1
022083.jpg,1,1,1,-1,-1
090775.jpg,1,1,1,-1,-1
114245.jpg,1,-1,-1,-1,-1
056424.jpg,1,-1,-1,-1,-1
004905.jpg,-1,1,1,-1,-1
022834.jpg,-1,1,1,-1,-1
163854.jpg,1,1,1,-1,-1
158177.jpg,1,-1,-1,-1,-1
061938.jpg,-1,-1,1,-1,-1
071401.jpg,1,-1,1,-1,-1
174952.jpg,1,1,-1,-1,-1
040369.jpg,-1,-1,1,-1,-1
007181.jpg,-1,-1,1,-1,-1
068320.jpg,-1,-1,1,1,-1
082481.jpg,1,-1,1,-1,-1
023224.jpg,1,-1,1,-1,-1
091133.jpg,-1,-1,1,1,-1
185993.jpg,1,-1,1,1,-1
123940.jpg,1,-1,1,-1,-1
092629.jpg,-1,1,-1,-1,-1
176412.jpg,-1,-1,1,-1,-1
079592.jpg,1,-1,1,-1,-1
180644.jpg,-1,1,1,-1,-1
181299.jpg,1,-1,1,-1,-1
137356.jpg,1,-1,1,-1,-1
181963.jpg,-1,-1,1,-1,-1
156956.jpg,-1,-1,1,-1,-1
092708.jpg,1,1,1,-1,-1
039176.jpg,1,-1,1,-1,-1
052918.jpg,1,-1,1,-1,-1
024757.jpg,1,1,1,-1,-1
098906.jpg,-1,-1,1,1,-1
083364.jpg,-1,-1,1,-1,-1
190617.jpg,-1,-1,1,-1,-1
067274.jpg,-1,1,-1,-1,-1
167758.jpg,1,-1,-1,1,-1
069618.jpg,-1,1,1,-1,-1
139740.jpg,1,-1,1,-1,-1
130472.jpg,-1,-1,1,1,-1
041630.jpg,1,1,-1,-1,-1
097964.jpg,-1,-1,1,-1,-1
108811.jpg,-1,-1,1,-1,-1
077624.jpg,-1,-1,1,-1,-1
140063.jpg,-1,1,1,-1,-1
187199.jpg,-1,1,-1,-1,-1
088871.jpg,1,-1,1,-1,-1
195726.jpg,1,-1,1,-1,-1
121651.jpg,-1,-1,1,-1,-1
149619.jpg,-1,-1,1,-1,-1
118659.jpg,1,1,1,-1,-1
190152.jpg,1,1,-1,-1,-1
101938.jpg,-1,-1,1,-1,-1
171174.jpg,1,-1,1,1,-1
118713.jpg,-1,-1,1,-1,-1
096187.jpg,-1,-1,-1,-1,-1
141769.jpg,1,-1,1,-1,-1
078033.jpg,-1,1,-1,-1,-1
120510.jpg,-1,-1,1,1,-1
079324.jpg,-1,-1,1,-1,-1
071810.jpg,-1,-1,1,-1,1
198978.jpg,1,-1,1,-1,-1
005867.jpg,-1,-1,1,-1,-1
169701.jpg,1,-1,1,1,-1
144163.jpg,1,-1,1,1,-1
036293.jpg,1,-1,1,-1,-1
065864.jpg,1,-1,1,-1,-1
189396.jpg,1,1,-1,-1,-1
022611.jpg,-1,1,1,-1,-1
201367.jpg,-1,1,1,-1,-1
123452.jpg,1,-1,1,1,-1
191667.jpg,1,1,1,-1,-1
132107.jpg,-1,1,1,-1,-1
070489.jpg,-1,1,-1,-1,-1
109992.jpg,-1,1,-1,-1,-1
100171.jpg,1,-1,1,-1,-1
174852.jpg,-1,-1,-1,-1,-1
178495.jpg,1,1,1,-1,-1
129814.jpg,-1,1,-1,-1,-1
040638.jpg,1,1,1,-1,-1
104492.jpg,-1,-1,-1,-1,1
061730.jpg,1,-1,1,-1,-1
087548.jpg,1,-1,1,-1,-1
081344.jpg,-1,-1,1,-1,-1
026338.jpg,1,-1,-1,-1,-1
012477.jpg,1,1,-1,-1,-1
147687.jpg,-1,-1,1,-1,-1
034124.jpg,-1,-1,1,-1,-1
174153.jpg,1,-1,-1,-1,-1
076808.jpg,-1,-1,1,-1,-1
022350.jpg,-1,-1,1,-1,-1
030235.jpg,1,-1,1,-1,-1
076063.jpg,1,1,1,-1,-1
024774.jpg,-1,-1,1,-1,-1
180363.jpg,1,1,1,-1,-1
096175.jpg,1,-1,-1,-1,-1
169445.jpg,-1,1,1,-1,1
107083.jpg,-1,1,1,-1,-1
147545.jpg,-1,1,1,-1,-1
186007.jpg,-1,1,-1,-1,-1
130464.jpg,1,1,-1,-1,-1
149642.jpg,1,-1,-1,1,-1
133042.jpg,-1,1,1,-1,-1
059732.jpg,1,1,1,-1,-1
023196.jpg,-1,-1,1,-1,-1
057967.jpg,-1,-1,1,-1,-1
169680.jpg,1,-1,1,1,-1
022899.jpg,-1,-1,1,-1,-1
023318.jpg,-1,1,-1,-1,-1
012362.jpg,-1,1,-1,1,-1
050081.jpg,1,1,1,-1,-1
181752.jpg,1,-1,1,-1,-1
076992.jpg,1,-1,-1,-1,-1
033959.jpg,-1,1,-1,-1,1
197681.jpg,-1,-1,1,-1,-1
090661.jpg,1,-1,-1,-1,-1
190982.jpg,-1,1,-1,-1,1
045099.jpg,1,-1,1,-1,-1
178440.jpg,1,1,-1,-1,-1
036933.jpg,1,-1,1,-1,-1
083540.jpg,-1,-1,1,-1,-1
046342.jpg,-1,-1,1,-1,-1
163343.jpg,-1,-1,1,-1,-1
195042.jpg,-1,1,1,-1,-1
163447.jpg,-1,1,1,-1,-1
163134.jpg,1,1,-1,-1,1
047207.jpg,-1,1,1,-1,-1
169897.jpg,1,-1,1,-1,-1
115354.jpg,1,-1,1,-1,-1
015620.jpg,-1,1,1,-1,-1
071825.jpg,-1,1,1,-1,-1
018583.jpg,1,1,1,-1,-1
149558.jpg,-1,-1,1,-1,-1
031720.jpg,1,-1,1,-1,-1
102535.jpg,-1,-1,1,1,-1
100144.jpg,1,-1,1,1,-1
115974.jpg,-1,-1,1,-1,-1
047181.jpg,1,-1,1,1,-1
085216.jpg,-1,1,1,-1,1
081346.jpg,-1,1,1,-1,-1
007363.jpg,1,1,1,-1,-1
091826.jpg,1,-1,1,-1,-1
028058.jpg,-1,-1,1,-1,-1
089055.jpg,-1,-1,1,-1,-1
087079.jpg,1,-1,1,1,-1
069840.jpg,1,1,-1,-1,-1
166777.jpg,-1,-1,1,-1,1
042105.jpg,-1,-1,1,-1,-1
097953.jpg,1,-1,1,-1,1
167228.jpg,1,-1,-1,1,-1
047623.jpg,-1,-1,1,-1,-1
009691.jpg,-1,1,1,-1,-1
002628.jpg,-1,1,1,-1,-1
181563.jpg,-1,1,1,-1,-1
092628.jpg,1,-1,1,-1,-1
163940.jpg,-1,-1,1,-1,-1
197914.jpg,1,-1,1,-1,-1
083785.jpg,1,-1,1,-1,-1
071838.jpg,1,-1,1,-1,-1
065794.jpg,-1,-1,1,-1,-1
088006.jpg,1,1,-1,-1,-1
006076.jpg,1,-1,1,1,-1
140634.jpg,-1,1,-1,-1,-1
011082.jpg,-1,1,1,-1,-1
073505.jpg,1,-1,1,-1,-1
169788.jpg,-1,1,1,-1,-1
028388.jpg,-1,1,1,-1,-1
086122.jpg,-1,1,1,-1,-1
031805.jpg,-1,-1,1,-1,-1
158066.jpg,-1,1,-1,-1,-1
006526.jpg,-1,-1,1,-1,-1
026838.jpg,1,1,1,-1,-1
124895.jpg,1,-1,1,1,-1
000810.jpg,1,-1,1,-1,-1
132626.jpg,-1,-1,1,-1,-1
102297.jpg,1,1,1,-1,-1
097396.jpg,1,-1,1,-1,-1
122032.jpg,1,-1,1,-1,-1
134299.jpg,1,-1,1,-1,-1
121958.jpg,-1,1,1,-1,-1
071803.jpg,-1,1,1,-1,1
114172.jpg,1,1,1,-1,-1
054804.jpg,-1,1,1,1,-1
116289.jpg,-1,-1,1,1,-1
046147.jpg,1,-1,1,-1,-1
090395.jpg,-1,1,-1,-1,1
100205.jpg,-1,1,1,-1,1
139362.jpg,-1,1,1,-1,-1
091896.jpg,1,-1,1,-1,-1
191020.jpg,-1,1,1,-1,-1
060434.jpg,-1,-1,1,1,-1
058857.jpg,1,-1,-1,1,-1
125161.jpg,-1,1,1,-1,-1
155401.jpg,1,-1,1,-1,-1
176441.jpg,-1,1,1,-1,-1
083348.jpg,-1,1,1,-1,-1
194141.jpg,-1,-1,1,1,-1
054780.jpg,1,-1,1,1,-1
083855.jpg,-1,1,1,-1,-1
168792.jpg,-1,1,1,-1,-1
011063.jpg,1,1,1,-1,-1
132730.jpg,-1,1,1,-1,-1
086513.jpg,-1,-1,1,-1,-1
095053.jpg,-1,-1,1,-1,-1
041131.jpg,-1,1,1,-1,-1
014179.jpg,1,-1,1,1,-1
136272.jpg,-1,-1,1,1,-1
130757.jpg,1,-1,1,1,-1
132817.jpg,1,-1,1,-1,-1
000071.jpg,1,-1,1,1,-1
131413.jpg,-1,-1,1,-1,-1
025094.jpg,1,1,1,-1,-1
040387.jpg,1,-1,1,1,-1
169411.jpg,1,-1,1,-1,-1
184689.jpg,1,-1,1,1,-1
122183.jpg,-1,-1,1,-1,-1
053237.jpg,-1,1,-1,-1,-1
171759.jpg,1,-1,1,-1,-1
198393.jpg,1,-1,1,-1,-1
141871.jpg,1,-1,1,-1,-1
131644.jpg,-1,-1,1,-1,-1
123871.jpg,1,-1,1,-1,-1
052275.jpg,-1,-1,1,-1,-1
138620.jpg,-1,1,1,-1,-1
031671.jpg,-1,-1,1,-1,-1
041415.jpg,-1,-1,1,-1,-1
074836.jpg,-1,-1,-1,-1,-1
006173.jpg,-1,-1,1,-1,-1
125811.jpg,1,1,1,-1,-1
112088.jpg,1,-1,1,1,-1
115164.jpg,1,-1,1,1,-1
051128.jpg,1,-1,1,1,-1
027858.jpg,-1,1,-1,-1,-1
134670.jpg,1,-1,-1,1,-1
183493.jpg,1,1,1,-1,-1
051672.jpg,1,-1,1,-1,-1
013453.jpg,-1,-1,1,-1,-1
186362.jpg,1,1,1,-1,-1
175026.jpg,-1,1,-1,-1,-1
032609.jpg,1,-1,1,1,-1
089080.jpg,-1,-1,1,-1,-1
022485.jpg,-1,-1,1,1,-1
149568.jpg,1,-1,1,1,-1
052145.jpg,1,-1,-1,1,-1
148239.jpg,-1,-1,1,-1,-1
177997.jpg,1,-1,1,-1,-1
025044.jpg,-1,1,1,-1,-1
076672.jpg,-1,1,1,-1,-1
130263.jpg,-1,1,-1,-1,-1
095511.jpg,-1,1,-1,-1,-1
117206.jpg,-1,1,1,-1,-1
012918.jpg,-1,-1,1,-1,-1
105086.jpg,1,-1,1,-1,-1
038739.jpg,-1,-1,1,1,-1
181539.jpg,-1,-1,1,-1,-1
027076.jpg,-1,1,1,-1,-1
158409.jpg,1,1,-1,-1,-1
040273.jpg,1,-1,1,-1,-1
034058.jpg,1,-1,1,-1,-1
184763.jpg,1,-1,1,1,-1
091728.jpg,1,1,1,-1,-1
194605.jpg,1,-1,1,1,-1
169921.jpg,1,-1,-1,1,-1
184842.jpg,-1,1,-1,-1,-1
156310.jpg,-1,-1,1,-1,-1
081858.jpg,-1,-1,1,-1,-1
074377.jpg,1,-1,-1,-1,-1
124493.jpg,1,-1,1,-1,-1
082232.jpg,-1,-1,1,1,-1
057113.jpg,-1,-1,1,-1,-1
057571.jpg,-1,-1,1,-1,-1
057803.jpg,1,-1,1,-1,-1
153577.jpg,-1,1,1,-1,-1
039473.jpg,-1,1,-1,-1,1
023147.jpg,1,1,1,-1,-1
184167.jpg,-1,1,1,-1,-1
087129.jpg,1,-1,-1,-1,-1
083736.jpg,-1,1,1,-1,-1
099842.jpg,1,-1,1,1,-1
129720.jpg,1,1,1,-1,-1
015414.jpg,-1,-1,1,-1,-1
085731.jpg,1,1,-1,-1,-1
094968.jpg,-1,-1,1,-1,-1
181047.jpg,-1,1,1,-1,-1
117516.jpg,1,1,-1,-1,-1
097163.jpg,1,-1,1,-1,-1
124393.jpg,-1,-1,1,-1,-1
182968.jpg,1,1,-1,-1,-1
024097.jpg,1,1,1,-1,-1
044683.jpg,1,-1,1,-1,-1
052231.jpg,-1,1,-1,-1,-1
158818.jpg,1,1,1,-1,1
146184.jpg,-1,1,1,-1,-1
033498.jpg,1,-1,1,-1,-1
053877.jpg,-1,-1,1,-1,-1
077489.jpg,1,-1,1,1,-1
105172.jpg,-1,1,1,-1,-1
121176.jpg,1,-1,-1,1,-1
182005.jpg,1,1,-1,-1,-1
089733.jpg,1,-1,1,-1,-1
013669.jpg,-1,1,1,-1,-1
027801.jpg,1,1,1,-1,-1
179090.jpg,-1,-1,1,-1,-1
192483.jpg,-1,-1,-1,-1,-1
050235.jpg,-1,-1,1,1,-1
013859.jpg,1,-1,1,1,-1
101534.jpg,-1,-1,1,1,-1
160524.jpg,1,-1,1,-1,-1
104182.jpg,1,-1,1,-1,-1
030867.jpg,-1,-1,1,-1,-1
198526.jpg,-1,1,1,-1,-1
095510.jpg,-1,1,1,-1,-1
037394.jpg,-1,1,1,-1,-1
086630.jpg,1,-1,1,-1,-1
045070.jpg,-1,-1,1,-1,-1
126883.jpg,-1,-1,1,-1,-1
141670.jpg,1,1,1,-1,-1
065452.jpg,1,-1,-1,-1,-1
086601.jpg,1,1,1,-1,-1
020872.jpg,-1,-1,1,-1,-1
195645.jpg,1,-1,1,-1,-1
036204.jpg,1,-1,1,-1,-1
061586.jpg,1,1,-1,-1,-1
016810.jpg,-1,-1,1,-1,-1
068506.jpg,1,1,1,-1,-1
168318.jpg,-1,-1,1,-1,-1
158474.jpg,1,-1,1,-1,-1
141647.jpg,-1,-1,1,-1,-1
176804.jpg,-1,-1,1,1,-1
144744.jpg,-1,-1,1,-1,-1
198289.jpg,1,-1,1,1,-1
111749.jpg,-1,-1,1,-1,1
161106.jpg,1,-1,1,1,-1
201702.jpg,-1,1,1,-1,-1
094830.jpg,-1,-1,1,-1,-1
027192.jpg,-1,-1,1,1,-1
192730.jpg,1,-1,1,-1,-1
096274.jpg,-1,1,1,-1,-1
050675.jpg,-1,1,1,-1,-1
063158.jpg,1,1,-1,-1,-1
113302.jpg,1,1,1,-1,-1
033696.jpg,-1,-1,1,-1,-1
024333.jpg,1,-1,1,-1,-1
098473.jpg,-1,-1,1,-1,-1
115001.jpg,-1,-1,1,-1,-1
180718.jpg,1,-1,1,-1,-1
197320.jpg,-1,1,1,-1,-1
107281.jpg,1,-1,1,-1,-1
087882.jpg,1,1,-1,-1,-1
051359.jpg,-1,1,1,-1,-1
068271.jpg,-1,1,1,-1,-1
131397.jpg,-1,1,1,-1,-1
148742.jpg,1,-1,1,1,-1
154102.jpg,-1,-1,1,-1,-1
157459.jpg,1,1,1,-1,-1
135618.jpg,1,-1,1,-1,-1
089410.jpg,-1,1,-1,-1,-1
170008.jpg,-1,-1,1,1,-1
052408.jpg,-1,1,-1,-1,-1
127269.jpg,-1,1,-1,-1,-1
169960.jpg,-1,-1,1,1,-1
074069.jpg,1,1,1,1,-1
053861.jpg,1,-1,1,-1,-1
131257.jpg,-1,1,1,-1,-1
170899.jpg,1,-1,-1,-1,-1
067329.jpg,1,-1,1,-1,-1
038181.jpg,-1,-1,1,-1,-1
146094.jpg,-1,1,1,-1,-1
016921.jpg,1,-1,1,1,-1
105641.jpg,1,1,1,-1,-1
102220.jpg,1,-1,1,1,-1
047859.jpg,-1,-1,1,-1,-1
155273.jpg,1,-1,1,1,-1
156080.jpg,-1,-1,1,-1,-1
065908.jpg,-1,-1,1,1,-1
090300.jpg,-1,1,1,-1,-1
023073.jpg,-1,1,-1,1,-1
079702.jpg,-1,1,1,-1,-1
136927.jpg,1,1,1,-1,-1
192137.jpg,-1,-1,1,-1,-1
034049.jpg,1,-1,1,-1,1
108302.jpg,1,1,1,-1,-1
163033.jpg,-1,-1,1,1,-1
157552.jpg,-1,-1,1,1,-1
028884.jpg,-1,-1,1,-1,-1
091400.jpg,-1,-1,1,-1,-1
097894.jpg,1,-1,1,1,-1
022171.jpg,1,-1,1,1,-1
199371.jpg,1,1,-1,-1,1
022176.jpg,1,-1,1,-1,-1
147798.jpg,1,-1,1,-1,-1
052957.jpg,1,-1,-1,1,-1
189745.jpg,-1,1,-1,-1,-1
093175.jpg,-1,-1,1,1,-1
106089.jpg,-1,-1,1,-1,-1
058265.jpg,1,-1,1,-1,-1
087697.jpg,-1,1,-1,-1,-1
102069.jpg,1,-1,1,-1,-1
193901.jpg,-1,-1,1,-1,-1
088693.jpg,-1,-1,1,-1,-1
149535.jpg,1,-1,1,-1,-1
085370.jpg,1,1,1,-1,-1
032776.jpg,-1,1,-1,-1,-1
032656.jpg,-1,-1,1,1,-1
094890.jpg,1,-1,1,-1,-1
128893.jpg,1,-1,1,-1,-1
068328.jpg,-1,1,1,-1,-1
042180.jpg,-1,-1,1,-1,-1
106487.jpg,1,-1,-1,-1,-1
186085.jpg,1,1,1,-1,-1
062126.jpg,-1,-1,1,-1,-1
008115.jpg,1,1,1,-1,-1
055713.jpg,1,1,1,-1,-1
133303.jpg,-1,-1,1,1,-1
148074.jpg,1,1,1,-1,-1
164322.jpg,1,-1,1,1,-1
078660.jpg,1,-1,1,-1,-1
194395.jpg,-1,1,1,-1,1
009470.jpg,1,1,-1,-1,-1
170404.jpg,-1,-1,1,1,-1
044111.jpg,-1,1,-1,-1,-1
017997.jpg,1,-1,1,1,-1
125694.jpg,-1,1,1,-1,-1
188166.jpg,1,-1,-1,-1,-1
044726.jpg,1,-1,1,-1,-1
150913.jpg,1,-1,1,-1,-1
074469.jpg,-1,1,1,-1,-1
158690.jpg,-1,1,1,-1,-1
104682.jpg,1,-1,1,-1,-1
095412.jpg,1,-1,1,1,-1
195842.jpg,1,-1,1,1,-1
094855.jpg,1,1,-1,-1,-1
049619.jpg,-1,1,-1,-1,1
156790.jpg,-1,1,-1,-1,-1
034811.jpg,-1,1,1,-1,-1
187121.jpg,1,1,-1,-1,1
123848.jpg,-1,-1,1,1,-1
043113.jpg,1,1,1,-1,-1
088826.jpg,1,1,1,-1,-1
134095.jpg,-1,-1,1,-1,-1
068032.jpg,1,1,1,-1,-1
067738.jpg,1,1,1,-1,-1
125659.jpg,-1,1,-1,-1,-1
013839.jpg,1,-1,1,-1,-1
105952.jpg,1,-1,1,-1,-1
140997.jpg,1,-1,1,-1,-1
072711.jpg,1,1,-1,-1,1
069656.jpg,-1,-1,1,-1,-1
028590.jpg,-1,1,1,-1,1
098770.jpg,-1,1,1,-1,1
001577.jpg,1,1,-1,-1,-1
106712.jpg,-1,-1,1,-1,-1
134825.jpg,-1,-1,1,-1,-1
020069.jpg,-1,1,-1,-1,-1
012499.jpg,-1,1,-1,-1,1
089983.jpg,-1,-1,1,-1,-1
041682.jpg,-1,1,1,-1,-1
151360.jpg,1,-1,1,-1,-1
033664.jpg,1,-1,1,-1,-1
165686.jpg,-1,-1,1,-1,-1
035853.jpg,-1,1,1,-1,-1
118306.jpg,1,1,-1,-1,-1
132951.jpg,1,1,1,-1,-1
031295.jpg,1,-1,1,1,-1
105498.jpg,1,-1,1,-1,-1
071303.jpg,-1,1,1,-1,-1
048498.jpg,-1,1,1,-1,-1
018676.jpg,1,1,-1,-1,-1
044434.jpg,-1,-1,1,-1,-1
028497.jpg,1,-1,1,1,-1
141760.jpg,-1,-1,1,1,-1
148927.jpg,1,-1,1,-1,-1
108734.jpg,-1,-1,1,-1,1
058405.jpg,1,-1,1,-1,-1
007539.jpg,-1,-1,-1,1,-1
073919.jpg,1,1,1,1,-1
202390.jpg,-1,-1,1,-1,1
173341.jpg,1,1,1,-1,-1
061276.jpg,-1,-1,1,-1,-1
156669.jpg,-1,-1,1,-1,-1
130852.jpg,1,1,-1,-1,-1
103125.jpg,-1,-1,1,-1,-1
076779.jpg,1,-1,1,1,-1
110856.jpg,-1,1,1,-1,-1
168354.jpg,-1,-1,1,-1,-1
116810.jpg,1,1,1,-1,-1
176177.jpg,-1,-1,1,1,-1
097863.jpg,1,-1,1,-1,-1
013975.jpg,-1,1,1,-1,-1
098657.jpg,1,-1,1,1,-1
178918.jpg,1,1,1,-1,-1
114108.jpg,-1,1,-1,-1,-1
024507.jpg,-1,-1,1,-1,-1
087798.jpg,1,1,1,-1,-1
142916.jpg,1,-1,1,-1,-1
104460.jpg,1,-1,1,-1,-1
170602.jpg,-1,1,1,-1,-1
098280.jpg,1,1,1,-1,-1
183084.jpg,-1,1,-1,-1,-1
002866.jpg,1,-1,1,-1,-1
153599.jpg,-1,1,1,-1,1
135277.jpg,-1,1,-1,-1,-1
021616.jpg,-1,1,-1,-1,-1
160560.jpg,-1,1,1,-1,1
007078.jpg,-1,-1,1,-1,-1
200443.jpg,1,-1,1,1,-1
176294.jpg,1,-1,1,1,-1
000776.jpg,1,-1,1,-1,-1
135690.jpg,-1,1,-1,-1,-1
163271.jpg,-1,-1,1,-1,-1
083070.jpg,-1,1,1,-1,-1
025688.jpg,-1,-1,1,-1,-1
107652.jpg,1,-1,1,-1,-1
028727.jpg,-1,1,-1,-1,-1
017398.jpg,1,1,-1,-1,-1
046769.jpg,-1,1,1,-1,-1
110701.jpg,-1,-1,1,1,-1
151646.jpg,-1,-1,1,-1,-1
168021.jpg,1,1,-1,-1,-1
049212.jpg,-1,1,1,-1,-1
065676.jpg,1,-1,-1,-1,-1
182094.jpg,1,1,1,-1,-1
001728.jpg,-1,1,-1,-1,-1
135470.jpg,1,-1,1,-1,-1
021873.jpg,-1,1,1,-1,-1
018821.jpg,1,1,-1,-1,-1
182913.jpg,-1,-1,-1,-1,-1
102837.jpg,1,-1,1,-1,-1
103767.jpg,1,-1,1,1,-1
060058.jpg,1,1,1,-1,-1
186939.jpg,-1,1,-1,-1,1
079379.jpg,-1,1,-1,-1,-1
174090.jpg,1,-1,1,-1,-1
169223.jpg,-1,-1,1,1,-1
125380.jpg,1,-1,1,-1,-1
200060.jpg,-1,1,1,-1,-1
176095.jpg,1,1,1,-1,-1
080764.jpg,-1,1,1,-1,-1
067317.jpg,1,-1,1,1,-1
089210.jpg,1,1,-1,-1,-1
106868.jpg,-1,-1,1,-1,-1
123641.jpg,1,1,1,-1,1
016151.jpg,-1,1,1,-1,-1
074369.jpg,1,-1,1,-1,-1
121013.jpg,1,1,-1,-1,-1
016654.jpg,1,-1,1,-1,-1
025519.jpg,-1,-1,1,-1,-1
020469.jpg,-1,-1,-1,-1,-1
081980.jpg,1,-1,1,1,-1
161643.jpg,1,1,1,-1,-1
195794.jpg,1,-1,1,-1,-1
175812.jpg,-1,1,-1,-1,-1
164677.jpg,-1,1,1,-1,-1
074789.jpg,-1,-1,1,-1,-1
184664.jpg,-1,1,1,-1,-1
104395.jpg,-1,1,1,-1,1
191768.jpg,1,-1,1,-1,-1
174271.jpg,-1,1,1,-1,-1
122658.jpg,-1,1,1,-1,-1
190826.jpg,-1,1,1,-1,-1
180396.jpg,1,-1,-1,-1,-1
